"rep","mes","tick_extinct"
"25547685",39,79,44802
"25582703",51,79,42402
"25596025",55,79,702
"25621201",61,79,16102
"25639636",67,79,2202
"25681510",79,79,25502
"25686598",81,79,7702
"25702172",86,79,2502
"25702400",87,79,21802
"25722429",92,79,1502
"25758364",3,80,11102
"25799748",17,80,3102
"25809845",20,80,8502
"25867350",38,80,3402
"25867445",39,80,8502
"25901531",48,80,8302
"25909309",51,80,3002
"25922316",55,80,1602
"25938784",61,80,4702
"25961816",67,80,2202
"26001936",79,80,2602
"26007090",81,80,14302
"26030130",87,80,10002
"26036102",90,80,10502
"26041121",92,80,802
"26056784",98,80,28902
"26068973",4,81,3702
"26116387",17,81,2402
"26116490",18,81,9302
"26120138",20,81,13902
"26131186",24,81,6502
"26177893",38,81,2002
"26208581",48,81,4602
"26216384",51,81,21802
"26227706",55,81,4302
"26321372",79,81,5802
"26326410",81,81,2702
"26335909",85,81,7002
"26338483",87,81,10202
"26348352",92,81,802
"26397187",6,82,1502
"26433071",18,82,9402
"26438099",20,82,1702
"26453135",24,82,2302
"26458420",27,82,32202
"26458643",28,82,21302
"26491606",38,82,5402
"26500079",41,82,30502
"26521537",48,82,2902
"26525448",51,82,11902
"26563659",61,82,17602
"26581367",67,82,3902
"26620771",79,82,1902
"26642711",85,82,8302
"26642937",86,82,21602
"26658022",92,82,4302
"26704233",4,83,7302
"26709307",6,83,6302
"26744978",17,83,3302
"26812588",38,83,6202
"26822671",41,83,7102
"26862584",55,83,3202
"26864487",57,83,42902
"26906072",67,83,5102
"26947121",79,83,9502
"26970247",87,83,6102
"26984076",92,83,402
"27032460",4,84,5302
"27079173",17,84,6202
"27085491",20,84,34602
"27151861",38,84,11002
"27195462",48,84,4502
"27201135",51,84,6602
"27299008",79,84,3702
"27311205",85,84,2702
"27311264",86,84,4902
"27311345",87,84,7102
"27321699",90,84,34202
"27323841",92,84,4002
"27340787",98,84,23902
"27357311",4,85,23802
"27362444",6,85,12202
"27402505",17,85,3902
"27402606",18,85,9102
"27425609",24,85,21302
"27435784",27,85,16302
"27486261",41,85,14802
"27516608",51,85,3902
"27528312",55,85,3602
"27567724",67,85,1502
"27610036",79,85,5402
"27611777",81,85,12502
"27619383",85,85,6202
"27619531",86,85,13802
"27619628",87,85,8702
"27635624",92,85,1102
"27677661",4,86,4602
"27720296",17,86,1302
"27720395",18,86,8902
"27797861",38,86,9702
"27798065",39,86,19402
"27831650",51,86,5002
"27853885",57,86,17902
"27896642",67,86,2602
"27948532",79,86,2602
"27953577",81,86,3402
"27969840",86,86,3702
"27991090",92,86,1602
"28033135",4,87,21402
"28078629",17,87,902
"28078938",18,87,29902
"28145529",38,87,3202
"28145585",39,87,4602
"28151065",41,87,46902
"28175775",48,87,25302
"28182177",51,87,11002
"28191329",55,87,1102
"28196359",57,87,1902
"28239791",67,87,5802
"28282993",79,87,5702
"28288196",81,87,19202
"28301036",85,87,3002
"28314700",89,87,14002
"28323825",92,87,702
"28377613",4,88,6302
"28420165",17,88,2002
"28420403",18,88,22802
"28441206",24,88,9702
"28487941",38,88,4502
"28526359",51,88,3802
"28534605",55,88,2102
"28535364",57,88,26702
"28574254",67,88,3402
"28617870",79,88,3002
