C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-2.06e-05,3.2,-2.0000000000000003e-06,3.8979591836734695,[0.3125],[0.2565445],[-5.59966057e-05],[-5.43656366e-06],1.4768635636183496,0.25990545981442664,-0.002324486606835867,-5.508255982889813e-06,-2.5e-05,-2.5e-05,134.43828806068998,46574.542543013355,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,3.989795918367347,[0.3125],[0.25063939],[-5.59966057e-05],[-5.43656366e-06],1.4482500167774894,0.25432261281558527,-0.002121102181464088,-5.517045619322577e-06,-2.5e-05,-2.5e-05,147.32906441485343,45430.000674163224,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,4.081632653061225,[0.3125],[0.245],[-5.59966057e-05],[-5.43656366e-06],0.7291063453852579,0.08339130935009204,-0.00021239152363784647,-2.8109425995736943e-06,-2.5e-05,-2.5e-05,1261.870242899987,18443.832074498823,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,4.173469387755102,[0.3125],[0.2396088],[-5.59966057e-05],[-5.43656366e-06],1.394399517503849,0.2439846956092617,-0.00178534960433721,-5.536761919241029e-06,-2.5e-05,-2.5e-05,175.03574607787354,43275.98069995397,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,4.26530612244898,[0.3125],[0.23444976],[-5.59966057e-05],[-5.43656366e-06],0.7281671570146622,0.0843744777618772,-0.00021175415980826304,-2.866323382517483e-06,-2.5e-05,-2.5e-05,1230.2855241905536,18705.963180617156,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,4.357142857142858,[0.3125],[0.2295082],[-5.59966057e-05],[-5.43656366e-06],1.344551276737559,0.23464086230458533,-0.0015221135803434856,-5.559515353042129e-06,-2.5e-05,-2.5e-05,205.30662369587566,41282.05106702388,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,4.448979591836735,[0.3125],[0.22477064],[-5.59966057e-05],[-5.43656366e-06],0.7821489855421746,0.08686672224957984,-0.00025168236334179825,-2.943547407132638e-06,-2.5e-05,-2.5e-05,1127.6392077687153,19933.68338936285,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,4.540816326530613,[0.3125],[0.22022472],[-5.59966057e-05],[-5.43656366e-06],1.298191523616488,0.22617820160501834,-0.0013122571534037919,-5.585538523798768e-06,-2.5e-05,-2.5e-05,238.1393000743585,39427.66094349356,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,4.63265306122449,[0.3125],[0.21585903],[-5.59966057e-05],[-5.43656366e-06],1.2761818706142005,0.2222469414196216,-0.0012230133626612639,-5.59985191742963e-06,-2.5e-05,-2.5e-05,255.51642323594285,38547.27482468925,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,4.724489795918368,[0.3125],[0.21166307],[-5.59966057e-05],[-5.43656366e-06],1.2548874954511504,0.21850143581733,-0.0011424508032622052,-5.615075220627418e-06,-2.5e-05,-2.5e-05,273.5347545127271,37695.499817518205,False,True
